# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	60582
#@/user_id	windows11-caoayu-pc-i512400
ba yin han 	八音汗	c=1 d=0.362402 t=60582
ba yue 	八月	c=1 d=0.00331267 t=60582
ba yue 	八月 	c=0 d=0 t=60582
ba zha 	八紮	c=1 d=0.00970611 t=60582
bai 	佰	c=1 d=0.909373 t=60582
bai 	白	c=8 d=0.0209629 t=60582
bai 	白 	c=0 d=0 t=60582
bai 	百	c=3 d=0.886947 t=60582
bai 	百 	c=0 d=0 t=60582
bai bai 	拜拜	c=1 d=3.24024e-37 t=60582
bai bai 	拜拜 	c=0 d=0 t=60582
bai bu 	擺佈	c=0 d=6.38714e-22 t=60582
bai bu 	擺佈 	c=0 d=0 t=60582
bai bu yao 	擺佈要	c=1 d=6.41916e-21 t=60582
bai bu yao 	擺佈要 	c=0 d=0 t=60582
bai cai 	白菜	c=4 d=2.98376e-08 t=60582
bai du 	百度	c=5 d=1.27643 t=60582
bai du 	百度 	c=0 d=0 t=60582
bai du yun 	百度暈	c=1 d=5.3866e-46 t=60582
bai du yun 	百度暈 	c=0 d=0 t=60582
bai fen hao 	百分號	c=1 d=0.0816756 t=60582
bai fen hao 	百分號 	c=0 d=0 t=60582
bai gan 	白乾	c=1 d=5.05567e-06 t=60582
bai gan 	白乾 	c=0 d=0 t=60582
bai jie 	白姐	c=2 d=9.80532e-05 t=60582
bai jie 	白姐 	c=0 d=0 t=60582
bai kai shui 	白開水	c=1 d=8.19288e-09 t=60582
bai kai shui 	白開水 	c=0 d=0 t=60582
bai lu 	白鹿	c=1 d=4.69116e-08 t=60582
bai lu 	白鹿 	c=0 d=0 t=60582
bai ming dan 	白名單	c=1 d=4.46465e-14 t=60582
bai ming dan 	白名單 	c=0 d=0 t=60582
bai nian 	百年	c=1 d=1.60742e-25 t=60582
bai nian 	百年 	c=0 d=0 t=60582
bai qian 	百千	c=1 d=0.869358 t=60582
bai tian 	白天	c=1 d=3.8827e-18 t=60582
bai tian 	白天 	c=0 d=0 t=60582
bai tiao 	白條	c=2 d=1.45198e-05 t=60582
bai tiao 	白條 	c=0 d=0 t=60582
ban 	半	c=8 d=0.0191586 t=60582
ban 	半 	c=0 d=0 t=60582
ban 	拌	c=2 d=0.0122259 t=60582
ban 	拌 	c=0 d=0 t=60582
ban 	搬	c=3 d=0.509162 t=60582
