# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	3578
#@/user_id	windows11-caoayu-pc-i512400
bao 	薄 	c=0 d=0 t=3578
bao an 	保安	c=1 d=0.066205 t=3578
bao bei 	報備 	c=0 d=0 t=3578
bao chi 	保持	c=1 d=4.00653e-05 t=3578
bao chi 	保持 	c=0 d=0 t=3578
bao cun 	保存 	c=0 d=0 t=3578
bao cun xi ai 	保存喜愛 	c=0 d=0 t=3578
bao cun xia 	保存下 	c=0 d=0 t=3578
bao cuo 	報錯 	c=0 d=0 t=3578
bao cuo 	报错	c=3 d=0.248631 t=3578
bao cuo le 	抱錯了 	c=0 d=0 t=3578
bao dong 	堡棟 	c=0 d=0 t=3578
bao guang 	曝光 	c=0 d=0 t=3578
bao guo 	包裹 	c=0 d=0 t=3578
bao han 	包含 	c=0 d=0 t=3578
bao hu 	保護 	c=0 d=0 t=3578
bao jia 	報價 	c=0 d=0 t=3578
bao kuo 	包括	c=2 d=0.398531 t=3578
bao kuo 	包括 	c=0 d=0 t=3578
bao lei 	堡壘 	c=0 d=0 t=3578
bao lei ji 	堡壘機 	c=0 d=0 t=3578
bao liu 	保留 	c=0 d=0 t=3578
bao lou 	報漏 	c=0 d=0 t=3578
bao lu 	暴露 	c=0 d=0 t=3578
bao man 	爆滿 	c=0 d=0 t=3578
bao mi 	保密 	c=0 d=0 t=3578
bao qian 	抱歉 	c=0 d=0 t=3578
bao shan 	寶山 	c=0 d=0 t=3578
bao song 	報送 	c=0 d=0 t=3578
bao ta 	寶塔 	c=0 d=0 t=3578
bao wei 	包圍 	c=0 d=0 t=3578
bao wen 	保溫 	c=0 d=0 t=3578
bao wen 	報文 	c=0 d=0 t=3578
bao xiao 	報銷 	c=0 d=0 t=3578
bao xiao dan 	報銷單 	c=0 d=0 t=3578
bao xiao dan 	报销单	c=1 d=0.0867261 t=3578
bao xiao ren 	報銷人 	c=0 d=0 t=3578
bao xiu 	保修 	c=0 d=0 t=3578
bao yan 	保研 	c=0 d=0 t=3578
bao zha 	爆炸 	c=0 d=0 t=3578
bao zhang 	報賬 	c=0 d=0 t=3578
bao zheng 	保證 	c=0 d=0 t=3578
bao zhuang 	包裝 	c=0 d=0 t=3578
bao zuo 	寶座 	c=0 d=0 t=3578
bei 	倍	c=1 d=0.000411789 t=3578
bei 	倍 	c=0 d=0 t=3578
bei 	北 	c=0 d=0 t=3578
bei 	呗	c=1 d=0.650509 t=3578
bei 	唄 	c=0 d=0 t=3578
bei 	被	c=4 d=0.731912 t=3578
bei 	被 	c=0 d=0 t=3578
bei an 	備案 	c=0 d=0 t=3578
bei bao 	背包 	c=0 d=0 t=3578
bei fang 	北方 	c=0 d=0 t=3578
bei fen 	備份 	c=0 d=0 t=3578
bei fen 	备份	c=1 d=0.0397558 t=3578
bei feng 	北風 	c=0 d=0 t=3578
bei feng 	北风	c=1 d=0.0315873 t=3578
bei hou 	背後 	c=0 d=0 t=3578
bei jing 	北京	c=2 d=0.00242665 t=3578
bei jing 	北京 	c=0 d=0 t=3578
bei jing 	背景 	c=0 d=0 t=3578
bei ke da 	北科大 	c=0 d=0 t=3578
bei li gong 	北理工	c=2 d=0.234209 t=3578
bei li gong 	北理工 	c=0 d=0 t=3578
bei lin 	北林 	c=0 d=0 t=3578
bei ni 	被你 	c=0 d=0 t=3578
bei ren 	被人 	c=0 d=0 t=3578
bei shang 	悲傷 	c=0 d=0 t=3578
bei teng 	背疼	c=1 d=0.00169512 t=3578
bei wo 	被我 	c=0 d=0 t=3578
bei wo 	被窩 	c=0 d=0 t=3578
bei yong 	備用 	c=0 d=0 t=3578
bei zhu 	備註 	c=0 d=0 t=3578
bei zhu 	备注	c=2 d=0.000447632 t=3578
bei zi 	杯子 	c=0 d=0 t=3578
bei zi 	被子	c=1 d=0.00217658 t=3578
ben 	本 	c=0 d=0 t=3578
ben di 	本地	c=4 d=0.826959 t=3578
ben di 	本地 	c=0 d=0 t=3578
ben ke 	本科 	c=0 d=0 t=3578
ben lai 	本來 	c=0 d=0 t=3578
ben shen 	本身 	c=0 d=0 t=3578
ben sheng 	本省 	c=0 d=0 t=3578
ben wen 	本文 	c=0 d=0 t=3578
beng 	崩 	c=0 d=0 t=3578
beng kui 	崩潰 	c=0 d=0 t=3578
beng le 	崩了 	c=0 d=0 t=3578
bi 	比	c=1 d=0.000401622 t=3578
bi 	比 	c=0 d=0 t=3578
bi bao 	閉包 	c=0 d=0 t=3578
bi bi 	嗶嗶 	c=0 d=0 t=3578
bi ci bi ci 	彼此彼此	c=1 d=0.084163 t=3578
bi dui 	比對 	c=0 d=0 t=3578
bi he 	閉合 	c=0 d=0 t=3578
bi ji 	筆記 	c=0 d=0 t=3578
bi ji ben 	笔记本	c=2 d=0.0015528 t=3578
bi ji ben 	筆記本 	c=0 d=0 t=3578
bi jiao 	比較 	c=0 d=0 t=3578
bi jiao 	比较	c=2 d=0.732618 t=3578
bi jiao duo 	比較多 	c=0 d=0 t=3578
bi jiao gao 	比较高	c=1 d=0.637628 t=3578
bi jiao gui 	比较贵	c=1 d=0.00379148 t=3578
bi jiao quan 	比较全	c=1 d=0.394554 t=3578
bi jing 	畢竟 	c=0 d=0 t=3578
bi jing shi 	畢竟是 	c=0 d=0 t=3578
bi li bi li 	嗶哩嗶哩 	c=0 d=0 t=3578
bi mian 	避免 	c=0 d=0 t=3578
bi na liang 	比那量 	c=0 d=0 t=3578
bi ru 	比如 	c=0 d=0 t=3578
bi shi 	筆試 	c=0 d=0 t=3578
bi tian 	必填 	c=0 d=0 t=3578
bi tian ma 	必填嗎 	c=0 d=0 t=3578
bi tian xiang 	必填項 	c=0 d=0 t=3578
bi wo 	比我 	c=0 d=0 t=3578
bi xu 	必須 	c=0 d=0 t=3578
bi xu 	必须	c=1 d=0.00562801 t=3578
bi xuan 	必選 	c=0 d=0 t=3578
bi yan 	閉眼 	c=0 d=0 t=3578
bi yao 	必要 	c=0 d=0 t=3578
bi ye 	畢業 	c=0 d=0 t=3578
bi zhe 	比这	c=1 d=0.0202419 t=3578
bi zhe 	比這 	c=0 d=0 t=3578
bi zhe 	逼着 	c=0 d=0 t=3578
bi zhi 	壁紙 	c=0 d=0 t=3578
bi zhi 	壁纸	c=3 d=2.80199 t=3578
bi zi 	鼻子	c=2 d=0.110611 t=3578
bi zi 	鼻子 	c=0 d=0 t=3578
bi zui 	閉嘴 	c=0 d=0 t=3578
bian 	便 	c=0 d=0 t=3578
bian 	变	c=2 d=0.111917 t=3578
bian 	變 	c=0 d=0 t=3578
bian 	边	c=0 d=5.5175e-06 t=3578
bian 	遍 	c=0 d=0 t=3578
bian 	邊 	c=0 d=0 t=3578
bian cheng 	編程 	c=0 d=0 t=3578
bian cheng 	變成 	c=0 d=0 t=3578
bian dong 	變動 	c=0 d=0 t=3578
bian hao 	編號 	c=0 d=0 t=3578
bian hao 	编号	c=2 d=0.000281257 t=3578
bian hu lai 	變胡來 	c=0 d=0 t=3578
bian hua 	变化	c=1 d=0.249075 t=3578
bian hua 	變化 	c=0 d=0 t=3578
bian hui lai 	變回來 	c=0 d=0 t=3578
bian ji 	編輯 	c=0 d=0 t=3578
bian ji qi 	編輯器 	c=0 d=0 t=3578
bian jia 	變價 	c=0 d=0 t=3578
bian ju 	邊距 	c=0 d=0 t=3578
bian ka 	變卡 	c=0 d=0 t=3578
bian lang 	便狼 	c=0 d=0 t=3578
bian le 	变了	c=2 d=0.0954512 t=3578
bian le 	變了 	c=0 d=0 t=3578
bian li tie 	便利貼 	c=0 d=0 t=3578
bian liang 	變量 	c=0 d=0 t=3578
bian ling 	便領 	c=0 d=0 t=3578
bian ma 	編碼 	c=0 d=0 t=3578
bian ma ji 	編碼集 	c=0 d=0 t=3578
bian mi 	便祕 	c=0 d=0 t=3578
bian wei 	變爲 	c=0 d=0 t=3578
bian xie 	編寫 	c=0 d=0 t=3578
bian yi 	編譯 	c=0 d=0 t=3578
bian yi 	變異 	c=0 d=0 t=3578
bian zi 	辮子 	c=0 d=0 t=3578
biao 	標 	c=0 d=0 t=3578
biao 	表	c=4 d=0.424601 t=3578
biao 	表 	c=0 d=0 t=3578
biao da shi 	表達式 	c=0 d=0 t=3578
biao dan 	表單 	c=0 d=0 t=3578
biao ge 	表格 	c=0 d=0 t=3578
biao hao 	標號 	c=0 d=0 t=3578
biao ji 	标记	c=2 d=0.657047 t=3578
biao ji 	標記 	c=0 d=0 t=3578
biao li 	表裏 	c=0 d=0 t=3578
biao mian 	表面 	c=0 d=0 t=3578
biao ming 	表明 	c=0 d=0 t=3578
biao qian 	標籤 	c=0 d=0 t=3578
biao qing 	表情 	c=0 d=0 t=3578
biao qing bao 	表情包 	c=0 d=0 t=3578
biao shi 	标识	c=2 d=0.0235895 t=3578
biao shi 	標識 	c=0 d=0 t=3578
